,site_name,name,genus_species,genus,species,body_part,year_found,likely_age,minimum_age,maximum_age,discoverers,citation_group,notes,lon,lat
146,"Lake, Ndutu, Tanzania ",Ndutu ,Homo NA,Homo ,NA,cranium ,1973,0.4,NA,NA,A.A. Mturi,70,controversal species classification,34.9975057,-3.003515
147,"Swascombe, England",Swanscombe Man,Homo neanderthalensis,Homo ,neanderthalis,cranium,1997,NA,0.38,0.4,NA,71,NA,0.3031822,51.4452254
148,"Steinheim, Germany ",Steinheim skull,Homo heidelbergensis,Homo,heidelbergensis,cranium,1933,0.25,NA,NA,Karl Sigrist,73,tentative age,9.0863893,51.8697655
149,"Tautavel, France",Arago 21,Homo erectus,Homo,erectus,cranium,1971,NA,0.42,0.48,Marie Lumley and Henry Lumley ,74,smithsonian discoverer ,2.745716,42.813662
150,"Ceprano, Italy",Ceprano man,Homo heidelbergensis,Homo,heidelbergensis,cranium,1994,NA,0.8,0.9,Italo Biddittu,75,NA,13.512173,41.5443553
151,"Altamura, Italy ",Altamura man,Homo neanderthalensis,Homo ,neanderthalensis,cranium,1993,NA,0.1301,0.172,CARS Speleologists ,76,NA,16.5527874,40.8253924
152,"Peloponnese, Greece",LAO 1/S1,Homo sapiens,Homo,sapiens ,cranium,1978,0.21,0.133,0.234,Andreas Andreikos,77,NA,22.352222,37.349722
153,"Peloponnese, Greece",LAO 1/S2,Homo neanderthalensis,Homo,neanderthalensis ,cranium,1978,0.17,0.133,0.234,Andreas Andreikos,77,NA,22.352222,37.349722
154,"Mugharat el Emireh, Israel",Galilee skull,Homo heidelbergensis,Homo,heidelbergensis,cranium,1925,NA,0.382,0.2,Francis Turville-Petre,78,NA,33.15816368,35.60792247
155,"Middle awash, Ethiopia",Herto man,Homo sapiens,Homo,sapiens ,cranium,1997,NA,0.154,0.16,Tim White,79,NA,39.9997991,9.9999553
156,"Tamil Nadu, India",NA,Homo sapiens,Homo,sapiens ,cranium,2001,0.166,0.136,0.196,P. Rajendran,80,NA,78.6568942,11.1271225
157,"Middle Awash, Ethiopia ",MAK-VP-1/2,Austalopithecus afarensis,Austalopithecus,afarensis,mandible,1990,3.4,NA,NA,White et al. ,81,unspecified amongst White et al. 1993,39.9997991,9.9999553
158,"Middle Awash, Ethiopia ",MAK-VP-1/4,Austalopithecus afarensis,Austalopithecus,afarensis,teeth,1990,3.4,NA,NA,White et al. ,81,unspecified amongst White et al. 1993,39.9997991,9.9999553
159,"Misliya Cave, Israel",Misliya-1,Homo sapiens,Homo,sapiens ,mandible,2002,0.187,0.177,0.194,Mina Weinstein-Evron and Israel Hershkowitz,82,NA,34.972117,32.74115
160,"Ngandong, Java",Ngandong 1,Homo erectus,Homo ,erectus,cranium,1931,NA,0.108,0.117,"Oppenoorth, ter Haar, and von Koenigswald",83,NA,112.0059052,-7.0274444
161,"Ngandong, Java",Ngandong 2,Homo erectus,Homo ,erectus,cranium,1931,NA,0.108,0.117,"Oppenoorth, ter Haar, and von Koenigswald",83,NA,112.0059052,-7.0274444
162,"Ngandong, Java",Ngandong 3,Homo erectus,Homo ,erectus,cranium,1931,NA,0.108,0.117,"Oppenoorth, ter Haar, and von Koenigswald",83,NA,112.0059052,-7.0274444
163,"Ngandong, Java",Ngandong 4,Homo erectus,Homo ,erectus,cranium,1932,NA,0.108,0.117,"Oppenoorth, ter Haar, and von Koenigswald",83,NA,112.0059052,-7.0274444
164,"Ngandong, Java",Ngandong 5,Homo erectus,Homo ,erectus,cranium,1932,NA,0.108,0.117,"Oppenoorth, ter Haar, and von Koenigswald",83,NA,112.0059052,-7.0274444
165,"Ngandong, Java",Ngandong 6,Homo erectus,Homo ,erectus,cranium,1932,NA,0.108,0.117,"Oppenoorth, ter Haar, and von Koenigswald",83,NA,112.0059052,-7.0274444
166,"Ngandong, Java",Ngandong 7,Homo erectus,Homo ,erectus,cranium,1933,NA,0.108,0.117,"Oppenoorth, ter Haar, and von Koenigswald",83,NA,112.0059052,-7.0274444
167,"Ngandong, Java",Ngandong 8,Homo erectus,Homo ,erectus,cranium,1933,NA,0.108,0.117,"Oppenoorth, ter Haar, and von Koenigswald",83,NA,112.0059052,-7.0274444
168,"Ngandong, Java",Ngandong 9,Homo erectus,Homo ,erectus,cranium,1933,NA,0.108,0.117,"Oppenoorth, ter Haar, and von Koenigswald",83,NA,112.0059052,-7.0274444
169,"Ngandong, Java",Ngandong 10,Homo erectus,Homo ,erectus,cranium,1933,NA,0.108,0.117,"Oppenoorth, ter Haar, and von Koenigswald",83,NA,112.0059052,-7.0274444
170,"Ngandong, Java",Ngandong 11,Homo erectus,Homo ,erectus,cranium,1933,NA,0.108,0.117,"Oppenoorth, ter Haar, and von Koenigswald",83,NA,112.0059052,-7.0274444
171,"Penghu, Taiwan",Penghu 1,Homo NA,Homo,NA,mandible,NA,NA,0.01,0.45,Fishermen,84,likely older than 0.190 and date not specified,119.5793157,23.5711899
172,"Kibish Formation, Ethiopia ",Omo 1,Homo sapiens,Homo,sapiens,cranium,1967,0.196,0.194,0.198,Richard Leaky,85,NA,35.966607,4.8002627
173,"Kibish Formation, Ethiopia ",Omo 2,Homo sapiens,Homo,sapiens,cranium,1967,0.196,0.194,0.198,Richard Leaky,85,NA,35.966607,4.8002627
174,"Kibish Formation, Ethiopia ",Omo 3,Homo sapiens,Homo,sapiens,cranium,1967,0.196,0.194,0.198,Richard Leaky,85,NA,35.966607,4.8002627
175,"Aniene River Valley, Rome",Saccopastore 1,Homo neanderthalensis,Homo,neanderthalensis ,cranium,1929,0.25,NA,NA,Mario Grazoli,86,NA,12.8250499,41.9544261
176,"Baishiya Karst Cave, China",Xiahe mandible,Homo neanderthalensis,Homo,neanderthalensis ,mandible,1980,0.16,NA,NA,random monk,87,NA,35.4546928,102.5700005
